Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
97,Exit Short,盈83,2023-10-03 01:00,27861.6,0.003533,1.55,1.55,17.08,1.34,1.55,1.55,0.38,0.38
97,Entry Short,做空:83,2023-10-03 00:00,28300.8,0.003533,1.55,1.55,17.08,1.34,1.55,1.55,0.38,0.38
96,Exit Long,损81,2023-09-21 19:00,26645.8,0.00369,-1.43,-1.43,15.53,-1.22,0.24,0.24,1.43,1.43
96,Entry Long,做多:82,2023-09-21 13:00,27033.4,0.00369,-1.43,-1.43,15.53,-1.22,0.24,0.24,1.43,1.43
95,Exit Long,损82,2023-09-21 18:00,26737.0,0.000009,-0.003,-1.1,16.96,0,0.001,0.24,0.003,1.1
95,Entry Long,做多:82,2023-09-21 13:00,27033.4,0.000009,-0.003,-1.1,16.96,0,0.001,0.24,0.003,1.1
94,Exit Long,损82,2023-09-21 18:00,26737.0,0.00369,-1.30,-1.3,16.96,-1.1,0.57,0.57,1.30,1.3
94,Entry Long,做多:81,2023-09-21 06:00,27090.4,0.00369,-1.30,-1.3,16.96,-1.1,0.57,0.57,1.30,1.3
93,Exit Short,盈77,2023-09-05 00:00,25769.1,0.003859,0.56,0.56,18.26,0.48,0.56,0.56,0.30,0.3
93,Entry Short,做空:80,2023-09-04 15:00,25914.5,0.003859,0.56,0.56,18.26,0.48,0.56,0.56,0.30,0.3
92,Exit Short,盈77,2023-09-05 00:00,25769.1,0.000003,0.001,0.69,17.70,0,0.001,0.69,0.0004,0.53
92,Entry Short,做空:79,2023-09-04 07:00,25948.5,0.000003,0.001,0.69,17.70,0,0.001,0.69,0.0004,0.53
91,Exit Short,盈80,2023-09-05 00:00,25783.8,0.00385,0.63,0.63,17.70,0.54,0.63,0.63,0.53,0.53
91,Entry Short,做空:79,2023-09-04 07:00,25948.5,0.00385,0.63,0.63,17.70,0.54,0.63,0.63,0.53,0.53
90,Exit Short,盈80,2023-09-05 00:00,25783.8,0.000009,0.001,0.34,17.07,0,0.001,0.34,0.002,0.98
90,Entry Short,做空:78,2023-09-04 01:00,25871.0,0.000009,0.001,0.34,17.07,0,0.001,0.34,0.002,0.98
89,Exit Short,盈79,2023-09-05 00:00,25791.2,0.003853,0.31,0.31,17.07,0.26,0.31,0.31,0.98,0.98
89,Entry Short,做空:78,2023-09-04 01:00,25871.0,0.003853,0.31,0.31,17.07,0.26,0.31,0.31,0.98,0.98
88,Exit Short,损78,2023-09-04 03:00,26037.3,0.000003,-0.0005,-0.64,16.76,0,0.0002,0.27,0.0005,0.64
88,Entry Short,做空:78,2023-09-04 01:00,25871.0,0.000003,-0.0005,-0.64,16.76,0,0.0002,0.27,0.0005,0.64
87,Exit Short,损78,2023-09-04 03:00,26037.3,0.003862,-0.55,-0.55,16.76,-0.47,0.36,0.36,0.55,0.55
87,Entry Short,做空:77,2023-09-03 22:00,25894.5,0.003862,-0.55,-0.55,16.76,-0.47,0.36,0.36,0.55,0.55
86,Exit Short,损76,2023-09-03 21:00,26029.5,0.003866,-0.64,-0.64,17.31,-0.54,0.02,0.02,0.64,0.64
86,Entry Short,做空:76,2023-09-03 18:00,25863.5,0.003866,-0.64,-0.64,17.31,-0.54,0.02,0.02,0.64,0.64
85,Exit Short,盈75,2023-08-28 09:00,25998.4,0.003835,0.33,0.33,17.95,0.28,0.33,0.33,0.16,0.16
85,Entry Short,做空:75,2023-08-28 06:00,26085.5,0.003835,0.33,0.33,17.95,0.28,0.33,0.33,0.16,0.16
84,Exit Short,盈74,2023-08-21 16:00,25990.3,0.003822,0.68,0.68,17.62,0.58,0.68,0.68,0.03,0.03
84,Entry Short,做空:74,2023-08-21 09:00,26168.5,0.003822,0.68,0.68,17.62,0.58,0.68,0.68,0.03,0.03
83,Exit Short,盈73,2023-08-21 00:00,25986.6,0.003829,0.51,0.51,16.94,0.44,0.51,0.51,0.05,0.05
